0,1,2,3,4,5,6,LABEL
9519,951,950-95799,800-99999,001-99999,,,DISEASES AND INJURIES
79091,7909,790,790-79699,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
T203,T074,T073,T072,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
8411,841,840-84899,800-99999,001-99999,,,DISEASES AND INJURIES
8840,884,88,87-9999,00-9999,,,PROCEDURES
71149,7114,711,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
6712,671,67,65-7199,00-9999,,,PROCEDURES
V157,V15,V10-V1999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
3327,332,33,30-3499,00-9999,,,PROCEDURES
7785,778,764-77999,760-77999,001-99999,,,DISEASES AND INJURIES
86509,8650,865,860-86999,800-99999,001-99999,,DISEASES AND INJURIES
9770,977,960-97999,800-99999,001-99999,,,DISEASES AND INJURIES
74364,7436,743,740-75999,001-99999,,,DISEASES AND INJURIES
31222,3122,312,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
01003,0100,010,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
71179,7117,711,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
9992,999,99,87-9999,00-9999,,,PROCEDURES
37885,3788,378,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
37883,3788,378,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
E8210,E821,E820-E8259,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
E0291,E029,E001-E0309,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
3371,337,33,30-3499,00-9999,,,PROCEDURES
64742,6474,647,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
7982,798,79,76-8499,00-9999,,,PROCEDURES
4581,458,45,42-5499,00-9999,,,PROCEDURES
28240,2824,282,280-28999,001-99999,,,DISEASES AND INJURIES
4241,424,420-42999,390-45999,001-99999,,,DISEASES AND INJURIES
0951,095,090-09999,001-13999,001-99999,,,DISEASES AND INJURIES
8906,890,89,87-9999,00-9999,,,PROCEDURES
65350,6535,653,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
9023,902,90,87-9999,00-9999,,,PROCEDURES
0786,078,070-07999,001-13999,001-99999,,,DISEASES AND INJURIES
36753,3675,367,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
27411,2741,274,270-27999,240-27999,001-99999,,DISEASES AND INJURIES
1261,126,120-12999,001-13999,001-99999,,,DISEASES AND INJURIES
9409,940,940-94999,800-99999,001-99999,,,DISEASES AND INJURIES
5236,523,520-52999,520-57999,001-99999,,,DISEASES AND INJURIES
81253,8125,812,810-81999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
1946,194,190-19999,140-23999,001-99999,,,DISEASES AND INJURIES
261,260-26999,240-27999,001-99999,,,,DISEASES AND INJURIES
5689,568,56,55-5999,00-9999,,,PROCEDURES
0301,030,030-04199,001-13999,001-99999,,,DISEASES AND INJURIES
8011,801,80,76-8499,00-9999,,,PROCEDURES
E8843,E884,E880-E8889,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
2771,277,270-27999,240-27999,001-99999,,,DISEASES AND INJURIES
V672,V67,V60-V6999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
85200,8520,852,850-85499,800-99999,001-99999,,DISEASES AND INJURIES
36573,3657,365,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
0530,053,050-05999,001-13999,001-99999,,,DISEASES AND INJURIES
33181,3318,331,330-33799,320-38999,001-99999,,DISEASES AND INJURIES
E8208,E820,E820-E8259,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
20121,2012,201,200-20899,140-23999,001-99999,,DISEASES AND INJURIES
52320,5232,523,520-52999,520-57999,001-99999,,DISEASES AND INJURIES
2884,288,280-28999,001-99999,,,,DISEASES AND INJURIES
7867,786,78,76-8499,00-9999,,,PROCEDURES
71827,7182,718,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
6594,659,65,65-7199,00-9999,,,PROCEDURES
0841,084,080-08899,001-13999,001-99999,,,DISEASES AND INJURIES
24971,2497,249,249-25999,240-27999,001-99999,,DISEASES AND INJURIES
0983,098,09,08-1699,00-9999,,,PROCEDURES
67524,6752,675,670-67799,630-67999,001-99999,,DISEASES AND INJURIES
31534,3153,315,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
1415,141,140-14999,140-23999,001-99999,,,DISEASES AND INJURIES
31532,3153,315,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
01315,0131,013,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
99882,9988,998,996-99999,800-99999,001-99999,,DISEASES AND INJURIES
0478,047,045-04999,001-13999,001-99999,,,DISEASES AND INJURIES
3879,387,380-38999,320-38999,001-99999,,,DISEASES AND INJURIES
67683,6768,676,670-67799,630-67999,001-99999,,DISEASES AND INJURIES
80153,8015,801,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
1638,163,160-16599,140-23999,001-99999,,,DISEASES AND INJURIES
9163,916,91,87-9999,00-9999,,,PROCEDURES
64624,6462,646,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
60499,6049,604,600-60899,580-62999,001-99999,,DISEASES AND INJURIES
66061,6606,660,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
7450,745,740-75999,001-99999,,,,DISEASES AND INJURIES
4400,440,44,42-5499,00-9999,,,PROCEDURES
043,04,01-0599,00-9999,,,,PROCEDURES
9731,973,97,87-9999,00-9999,,,PROCEDURES
3821,382,380-38999,320-38999,001-99999,,,DISEASES AND INJURIES
6290,629,617-62999,580-62999,001-99999,,,DISEASES AND INJURIES
V1090,V109,V10,V10-V1999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
38016,3801,380,380-38999,320-38999,001-99999,,DISEASES AND INJURIES
9691,969,960-97999,800-99999,001-99999,,,DISEASES AND INJURIES
30432,3043,304,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
52108,5210,521,520-52999,520-57999,001-99999,,DISEASES AND INJURIES
92401,9240,924,920-92499,800-99999,001-99999,,DISEASES AND INJURIES
7285,728,725-72999,710-73999,001-99999,,,DISEASES AND INJURIES
6174,617,617-62999,580-62999,001-99999,,,DISEASES AND INJURIES
65243,6524,652,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
1528,152,150-15999,140-23999,001-99999,,,DISEASES AND INJURIES
8785,878,87,87-9999,00-9999,,,PROCEDURES
E8616,E861,E860-E8699,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
7398,739,730-73999,710-73999,001-99999,,,DISEASES AND INJURIES
5412,541,54,42-5499,00-9999,,,PROCEDURES
8950,895,89,87-9999,00-9999,,,PROCEDURES
80465,8046,804,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
E8680,E868,E860-E8699,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
8145,814,81,76-8499,00-9999,,,PROCEDURES
3179,317,31,30-3499,00-9999,,,PROCEDURES
8406,840,84,76-8499,00-9999,,,PROCEDURES
30013,3001,300,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
81509,8150,815,810-81999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
E9222,E922,E916-E9289,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
30015,3001,300,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
9616,961,96,87-9999,00-9999,,,PROCEDURES
9581,958,958-95999,800-99999,001-99999,,,DISEASES AND INJURIES
E8244,E824,E820-E8259,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
5931,593,590-59999,580-62999,001-99999,,,DISEASES AND INJURIES
V8001,V800,V80,V70-V8299,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
8953,895,89,87-9999,00-9999,,,PROCEDURES
5552,555,55,55-5999,00-9999,,,PROCEDURES
7142,714,710-71999,710-73999,001-99999,,,DISEASES AND INJURIES
714,71,65-7199,00-9999,,,,PROCEDURES
6926,692,690-69899,680-70999,001-99999,,,DISEASES AND INJURIES
01345,0134,013,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
3824,382,38,35-3999,00-9999,,,PROCEDURES
80046,8004,800,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
4162,416,415-41799,390-45999,001-99999,,,DISEASES AND INJURIES
2774,277,270-27999,240-27999,001-99999,,,DISEASES AND INJURIES
74306,7430,743,740-75999,001-99999,,,DISEASES AND INJURIES
E9959,E995,E990-E9999,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
67084,6708,670,670-67799,630-67999,001-99999,,DISEASES AND INJURIES
2866,286,280-28999,001-99999,,,,DISEASES AND INJURIES
3942,394,39,35-3999,00-9999,,,PROCEDURES
0399,039,030-04199,001-13999,001-99999,,,DISEASES AND INJURIES
65273,6527,652,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
78833,7883,788,780-78999,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
78831,7883,788,780-78999,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
5189,518,51,42-5499,00-9999,,,PROCEDURES
6801,680,680-68699,680-70999,001-99999,,,DISEASES AND INJURIES
3259,325,32,30-3499,00-9999,,,PROCEDURES
E9656,E965,E960-E9699,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
1954,195,19,18-2099,00-9999,,,PROCEDURES
3884,388,38,35-3999,00-9999,,,PROCEDURES
99931,9993,999,996-99999,800-99999,001-99999,,DISEASES AND INJURIES
1693,169,16,08-1699,00-9999,,,PROCEDURES
V3600,V360,V36,V30-V3999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
8911,891,890-89799,870-89799,800-99999,001-99999,,DISEASES AND INJURIES
E8122,E812,E810-E8199,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
3669,366,360-37999,320-38999,001-99999,,,DISEASES AND INJURIES
83802,8380,838,830-83999,800-99999,001-99999,,DISEASES AND INJURIES
99593,9959,995,990-99599,800-99999,001-99999,,DISEASES AND INJURIES
65583,6558,655,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
36830,3683,368,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
1028,102,100-10499,001-13999,001-99999,,,DISEASES AND INJURIES
9273,927,925-92999,800-99999,001-99999,,,DISEASES AND INJURIES
T088,T085,T082,T078,T077,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
36832,3683,368,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
9075,907,905-90999,800-99999,001-99999,,,DISEASES AND INJURIES
81330,8133,813,810-81999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
81332,8133,813,810-81999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
85123,8512,851,850-85499,800-99999,001-99999,,DISEASES AND INJURIES
39891,3989,398,393-39899,390-45999,001-99999,,DISEASES AND INJURIES
1471,147,140-14999,140-23999,001-99999,,,DISEASES AND INJURIES
5472,547,54,42-5499,00-9999,,,PROCEDURES
01660,0166,016,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
6978,697,690-69899,680-70999,001-99999,,,DISEASES AND INJURIES
9560,956,950-95799,800-99999,001-99999,,,DISEASES AND INJURIES
71226,7122,712,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
2071,207,20,18-2099,00-9999,,,PROCEDURES
71228,7122,712,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
94884,9488,948,940-94999,800-99999,001-99999,,DISEASES AND INJURIES
75019,7501,750,740-75999,001-99999,,,DISEASES AND INJURIES
72810,7281,728,725-72999,710-73999,001-99999,,DISEASES AND INJURIES
8027,802,800-80499,800-82999,800-99999,001-99999,,DISEASES AND INJURIES
80076,8007,800,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
7604,760,760-76399,760-77999,001-99999,,,DISEASES AND INJURIES
66630,6663,666,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
8942,894,890-89799,870-89799,800-99999,001-99999,,DISEASES AND INJURIES
8080,808,805-80999,800-82999,800-99999,001-99999,,DISEASES AND INJURIES
4979,497,49,42-5499,00-9999,,,PROCEDURES
E9465,E946,E930-E9499,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
3559,355,350-35999,320-38999,001-99999,,,DISEASES AND INJURIES
47824,4782,478,470-47899,460-51999,001-99999,,DISEASES AND INJURIES
76421,7642,764,764-77999,760-77999,001-99999,,DISEASES AND INJURIES
E9057,E905,E900-E9099,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
V0184,V018,V01,V01-V0699,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
74441,7444,744,740-75999,001-99999,,,DISEASES AND INJURIES
1912,191,190-19999,140-23999,001-99999,,,DISEASES AND INJURIES
V1859,V185,V18,V10-V1999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
1340,134,130-13699,001-13999,001-99999,,,DISEASES AND INJURIES
E8079,E807,E800-E8079,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
4534,453,45,42-5499,00-9999,,,PROCEDURES
7935,793,79,76-8499,00-9999,,,PROCEDURES
51635,5163,516,510-51999,460-51999,001-99999,,DISEASES AND INJURIES
2274,227,210-22999,140-23999,001-99999,,,DISEASES AND INJURIES
80230,8023,802,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
1149,114,11,08-1699,00-9999,,,PROCEDURES
45352,4535,453,451-45999,390-45999,001-99999,,DISEASES AND INJURIES
E9284,E928,E916-E9289,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
E9358,E935,E930-E9499,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
20044,2004,200,200-20899,140-23999,001-99999,,DISEASES AND INJURIES
25083,2508,250,249-25999,240-27999,001-99999,,DISEASES AND INJURIES
9252,925,925-92999,800-99999,001-99999,,,DISEASES AND INJURIES
53491,5349,534,530-53999,520-57999,001-99999,,DISEASES AND INJURIES
8313,831,83,76-8499,00-9999,,,PROCEDURES
3321,332,330-33799,320-38999,001-99999,,,DISEASES AND INJURIES
38151,3815,381,380-38999,320-38999,001-99999,,DISEASES AND INJURIES
37960,3796,379,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
37962,3796,379,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
29512,2951,295,295-29999,290-29999,290-31999,001-99999,DISEASES AND INJURIES
5282,528,52,42-5499,00-9999,,,PROCEDURES
65471,6547,654,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
V6544,V654,V65,V60-V6999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
37063,3706,370,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
30089,3008,300,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
E9856,E985,E980-E9899,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
E9854,E985,E980-E9899,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
48812,4881,488,480-48899,460-51999,001-99999,,DISEASES AND INJURIES
9346,934,93,87-9999,00-9999,,,PROCEDURES
57450,5745,574,570-57999,520-57999,001-99999,,DISEASES AND INJURIES
V274,V27,V20-V2999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
04183,0418,041,030-04199,001-13999,001-99999,,DISEASES AND INJURIES
V860,V86,V86-V8699,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
7508,750,740-75999,001-99999,,,,DISEASES AND INJURIES
3533,353,350-35999,320-38999,001-99999,,,DISEASES AND INJURIES
64223,6422,642,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
V1505,V150,V15,V10-V1999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
1200,120,120-12999,001-13999,001-99999,,,DISEASES AND INJURIES
9426,942,94,87-9999,00-9999,,,PROCEDURES
V695,V69,V60-V6999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
2891,289,28,21-2999,00-9999,,,PROCEDURES
9228,922,92,87-9999,00-9999,,,PROCEDURES
71114,7111,711,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
70589,7058,705,700-70999,680-70999,001-99999,,DISEASES AND INJURIES
6821,682,680-68699,680-70999,001-99999,,,DISEASES AND INJURIES
V210,V21,V20-V2999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
99975,9997,999,996-99999,800-99999,001-99999,,DISEASES AND INJURIES
V5412,V541,V54,V50-V5999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
8763,876,87,87-9999,00-9999,,,PROCEDURES
9775,977,97,87-9999,00-9999,,,PROCEDURES
T016,T015,T010,T008,T204,T001,T072,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
0509,050,050-05999,001-13999,001-99999,,,DISEASES AND INJURIES
8552,855,85,85-8699,00-9999,,,PROCEDURES
28245,2824,282,280-28999,001-99999,,,DISEASES AND INJURIES
65993,6599,659,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
80610,8061,806,805-80999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
77931,7793,779,764-77999,760-77999,001-99999,,DISEASES AND INJURIES
7624,762,760-76399,760-77999,001-99999,,,DISEASES AND INJURIES
45939,4593,459,451-45999,390-45999,001-99999,,DISEASES AND INJURIES
5732,573,57,55-5999,00-9999,,,PROCEDURES
E8623,E862,E860-E8699,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
8123,812,81,76-8499,00-9999,,,PROCEDURES
0321,032,03,01-0599,00-9999,,,PROCEDURES
E8320,E832,E830-E8389,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
V552,V55,V50-V5999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
80400,8040,804,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
71638,7163,716,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
71636,7163,716,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
E8981,E898,E890-E8999,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
9801,980,980-98999,800-99999,001-99999,,,DISEASES AND INJURIES
E9601,E960,E960-E9699,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
01124,0112,011,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
1509,150,15,08-1699,00-9999,,,PROCEDURES
E8919,E891,E890-E8999,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
1179,117,110-11899,001-13999,001-99999,,,DISEASES AND INJURIES
72884,7288,728,725-72999,710-73999,001-99999,,DISEASES AND INJURIES
53019,5301,530,530-53999,520-57999,001-99999,,DISEASES AND INJURIES
94141,9414,941,940-94999,800-99999,001-99999,,DISEASES AND INJURIES
E8215,E821,E820-E8259,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
0401,040,04,01-0599,00-9999,,,PROCEDURES
3802,380,38,35-3999,00-9999,,,PROCEDURES
620,62,60-6499,00-9999,,,,PROCEDURES
1469,146,140-14999,140-23999,001-99999,,,DISEASES AND INJURIES
0071,007,001-00999,001-13999,001-99999,,,DISEASES AND INJURIES
V6125,V612,V61,V60-V6999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
64863,6486,648,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
33519,3351,335,330-33799,320-38999,001-99999,,DISEASES AND INJURIES
3341,334,330-33799,320-38999,001-99999,,,DISEASES AND INJURIES
3499,349,34,30-3499,00-9999,,,PROCEDURES
V131,V13,V10-V1999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
8870,887,880-88799,870-89799,800-99999,001-99999,,DISEASES AND INJURIES
7745,774,77,76-8499,00-9999,,,PROCEDURES
8008,800,80,76-8499,00-9999,,,PROCEDURES
7627,762,760-76399,760-77999,001-99999,,,DISEASES AND INJURIES
0053,005,001-00999,001-13999,001-99999,,,DISEASES AND INJURIES
81318,8131,813,810-81999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
36611,3661,366,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
4525,452,45,42-5499,00-9999,,,PROCEDURES
7910,791,79,76-8499,00-9999,,,PROCEDURES
7429,742,740-75999,001-99999,,,,DISEASES AND INJURIES
5582,558,555-55899,520-57999,001-99999,,,DISEASES AND INJURIES
81111,8111,811,810-81999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
0074,007,001-00999,001-13999,001-99999,,,DISEASES AND INJURIES
66494,6649,664,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
0738,073,070-07999,001-13999,001-99999,,,DISEASES AND INJURIES
36275,3627,362,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
0206,020,02,01-0599,00-9999,,,PROCEDURES
9390,939,93,87-9999,00-9999,,,PROCEDURES
1048,104,100-10499,001-13999,001-99999,,,DISEASES AND INJURIES
4449,444,440-44999,390-45999,001-99999,,,DISEASES AND INJURIES
E972,E970-E9789,E000-E9999,,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
55102,5510,551,550-55399,520-57999,001-99999,,DISEASES AND INJURIES
01646,0164,016,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
78760,7876,787,780-78999,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
156,15,08-1699,00-9999,,,,PROCEDURES
1491,149,140-14999,140-23999,001-99999,,,DISEASES AND INJURIES
74609,7460,746,740-75999,001-99999,,,DISEASES AND INJURIES
V816,V81,V70-V8299,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
71948,7194,719,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
75739,7573,757,740-75999,001-99999,,,DISEASES AND INJURIES
73721,7372,737,730-73999,710-73999,001-99999,,DISEASES AND INJURIES
V079,V07,V07-V0999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
57480,5748,574,570-57999,520-57999,001-99999,,DISEASES AND INJURIES
95215,9521,952,950-95799,800-99999,001-99999,,DISEASES AND INJURIES
8897,889,88,87-9999,00-9999,,,PROCEDURES
01802,0180,018,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
74429,7442,744,740-75999,001-99999,,,DISEASES AND INJURIES
E8790,E879,E878-E8799,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
64264,6426,642,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
64262,6426,642,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
9923,992,99,87-9999,00-9999,,,PROCEDURES
63750,6375,637,634-63999,630-67999,001-99999,,DISEASES AND INJURIES
V6801,V680,V68,V60-V6999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
83401,8340,834,830-83999,800-99999,001-99999,,DISEASES AND INJURIES
80011,8001,800,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
0628,062,060-06699,001-13999,001-99999,,,DISEASES AND INJURIES
75559,7555,755,740-75999,001-99999,,,DISEASES AND INJURIES
2219,221,22,21-2999,00-9999,,,PROCEDURES
8675,867,860-86999,800-99999,001-99999,,,DISEASES AND INJURIES
5274,527,520-52999,520-57999,001-99999,,,DISEASES AND INJURIES
31382,3138,313,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
43320,4332,433,430-43899,390-45999,001-99999,,DISEASES AND INJURIES
23876,2387,238,235-23899,140-23999,001-99999,,DISEASES AND INJURIES
1984,198,190-19999,140-23999,001-99999,,,DISEASES AND INJURIES
E8318,E831,E830-E8389,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
37741,3774,377,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
5695,569,560-56999,520-57999,001-99999,,,DISEASES AND INJURIES
E8683,E868,E860-E8699,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
17311,1731,173,170-17699,140-23999,001-99999,,DISEASES AND INJURIES
V7285,V728,V72,V70-V8299,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
E9436,E943,E930-E9499,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
1473,147,14,08-1699,00-9999,,,PROCEDURES
53270,5327,532,530-53999,520-57999,001-99999,,DISEASES AND INJURIES
37007,3700,370,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
2979,297,295-29999,290-29999,290-31999,001-99999,,DISEASES AND INJURIES
